Player,Player ID,Age,Speciality,Exp,TSI,Salary,Form,Condition,Character,Aggressiveness,Honesty,Leadership,GK,DEF,PM,WG,PASS,SCO,SP,Last_Skills_Update
"Teodor Legierski,483461950,18.003,Q,nędzny,2800,3280,8,5,kontrowersyjny,opanowany,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Slawomir Sliwakowski,483465398,18.02,H,nędzny,3580,3360,7,5,sympatyczny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Krzysztof Gowin,483468071,17.109,Q,nędzny,5100,1600,6,6,sympatyczny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Waldemar Radziul,483452365,18.038,,nędzny,260,1240,3,5,sympatyczny,zrównoważony,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Igor Jerszynski,483414567,18.002,,nędzny,2940,5080,5,5,kontrowersyjny,porywczy,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Janusz Judzinski,483451901,18.067,,fatalny,710,1240,6,5,sympatyczny,zrównoważony,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Marcjan Korzekwa,483430410,17.11,P,nędzny,3330,1080,8,6,sympatyczny,opanowany,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Walter Grzelakowski,483473468,17.108,U,nędzny,6890,1160,8,6,przyjemny,spokojny,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Wiktor Byszewski,483442483,19.002,,nędzny,410,1480,4,7,kontrowersyjny,spokojny,prawy,nędzny,1,3,2,3,2,7,1,08.08.2024"
"Kasjan Kuzior,483417473,18.0,U,nędzny,6140,4960,8,6,popularny,spokojny,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Pawel Niedzialkowski,483474455,18.031,Q,nędzny,4130,2400,4,5,sympatyczny,zrównoważony,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Kazimierz Tetkowski,483424931,18.09,,nędzny,280,1000,7,6,sympatyczny,spokojny,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Wiktor Razny,483461150,18.057,Q,nędzny,390,1280,5,5,przyjemny,zrównoważony,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Stanislaw Wichlinski,483459809,18.081,T,nędzny,1770,1520,5,7,przyjemny,z charakterem,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Juliusz Stajkowski,483459186,18.077,,nędzny,1730,1240,8,8,kontrowersyjny,opanowany,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Wladek Olechno,483426251,18.003,,nędzny,2640,1720,4,6,sympatyczny,opanowany,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Boguslaw Wozniak,483467182,18.033,U,nędzny,1470,1600,3,5,popularny,opanowany,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Henryk Maluga,483421731,18.0,H,nędzny,360,1280,6,4,sympatyczny,z charakterem,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Longinus Przepiora,483422073,18.0,,nędzny,2220,2120,5,6,przyjemny,zrównoważony,szlachetny,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Jarek Kulmaczewski,483456436,18.056,P,nędzny,120,1080,3,4,przyjemny,z charakterem,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Zygmunt Procek,483417975,18.004,,nędzny,5350,6600,7,6,sympatyczny,opanowany,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Tomasz Natanek,483455547,18.026,,nędzny,420,1080,4,4,popularny,opanowany,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Bronislaw Przerwa,483470120,18.071,P,nędzny,810,1160,6,4,kontrowersyjny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Przemyslaw Klimaszewski,483421945,18.0,T,nędzny,5140,4440,7,5,przyjemny,opanowany,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Przemyslaw Gogola,483457181,19.003,,nędzny,930,1480,5,5,sympatyczny,porywczy,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Rafal Trzuskowski,483463527,18.107,H,nędzny,2710,1440,7,8,popularny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Waclaw Smolarek,483445518,17.11,R,fatalny,340,1160,5,5,kontrowersyjny,porywczy,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Konstanty Adamski,483412781,18.074,,fatalny,740,1160,6,5,przyjemny,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Gniewosz Gemza,483456932,18.059,,nędzny,350,1320,2,4,przyjemny,porywczy,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Wladyslaw Kalucki,483460792,18.026,T,fatalny,280,1160,2,5,sympatyczny,spokojny,szlachetny,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Amadeusz Troczynski,483457454,18.098,U,nędzny,1770,1360,3,7,przyjemny,opanowany,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Jakub Harasymowicz,483440281,18.095,T,fatalny,700,1160,7,6,przyjemny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Alfred Cielemecki,483426342,18.003,H,nędzny,1110,1440,6,6,popularny,porywczy,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Oskar Kolbus,483460065,17.11,H,nędzny,6960,1720,6,6,przyjemny,zrównoważony,podły,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Cyryl Sobieski,483428189,18.008,U,nędzny,780,1360,6,5,przyjemny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Tomasz Czakiert,483426439,18.001,P,fatalny,760,1880,3,6,przyjemny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Krzysztof Matyasik,483459104,17.111,U,fatalny,310,1280,3,4,kontrowersyjny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Jedrzej Gapinski,483421870,17.111,P,nędzny,3120,1360,6,5,przyjemny,opanowany,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Dominik Kwiatkowski,483474714,18.028,,nędzny,480,1080,7,5,złośliwy,zrównoważony,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Roman Rusek,483452801,18.012,U,nędzny,5630,2600,7,6,kontrowersyjny,opanowany,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Aureliusz Demczuk,483467502,18.108,U,nędzny,330,1080,5,6,popularny,opanowany,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Benedykt Kubiszewski,483456238,18.059,T,nędzny,3020,1720,6,7,złośliwy,zrównoważony,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Klaudiusz Ladzinski,483422309,19.003,U,nędzny,60,1000,5,4,kontrowersyjny,spokojny,szlachetny,słaby,-,-,-,-,-,-,-,08.08.2024"
"Bogdan Bromirski,483421986,18.0,P,nędzny,350,1160,8,4,przyjemny,spokojny,szlachetny,słaby,-,-,-,-,-,-,-,08.08.2024"
"Grzegorz Jarzebski,483446916,17.111,P,nędzny,490,1080,5,4,sympatyczny,porywczy,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Dobiemir Galicki,483422246,18.08,U,nędzny,4970,2760,8,6,przyjemny,opanowany,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Mateusz Werwinski,483471992,17.108,H,kiepski,3920,1600,7,6,przyjemny,z charakterem,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Ursyn Lubiarz,483422165,18.007,,nędzny,3260,1800,7,7,sympatyczny,zrównoważony,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Lukasz Rojewski,483427237,18.07,Q,nędzny,3650,1440,6,7,przyjemny,z charakterem,uczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Ryszard Jedrzejkiewicz,483449525,17.111,Q,nędzny,3440,1160,7,5,sympatyczny,zrównoważony,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Zbigniew Piekarczyk,483435185,17.11,,nędzny,4450,1320,5,5,złośliwy,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Aleksander Wardach,483429360,18.101,,nędzny,170,1080,4,4,sympatyczny,zrównoważony,prawy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Krzysztof Heliasz,483458704,18.019,,fatalny,2520,4760,4,5,przyjemny,zrównoważony,nieuczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Krystian Grelewicz,483457057,18.071,U,nędzny,790,1000,7,6,kontrowersyjny,porywczy,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Walenty Figat,483444149,18.081,T,nędzny,2060,1880,5,5,przyjemny,z charakterem,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Dariusz Laski,483417250,18.006,U,nędzny,1580,1360,7,5,przyjemny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Wiktor Wojkowski,483455144,18.038,T,fatalny,260,1000,3,7,kontrowersyjny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Jerzy Pleskot,483464564,18.007,,nędzny,830,1240,3,7,przyjemny,zrównoważony,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Izydor Grzesiowski,483475615,18.096,P,nędzny,1210,1160,7,5,kontrowersyjny,zrównoważony,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Remigiusz Fiedziukiewicz,483425623,18.081,,nędzny,330,1160,5,6,złośliwy,opanowany,podły,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Czarek Rumniak,483468671,18.039,,nędzny,740,1480,5,6,kontrowersyjny,opanowany,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Scibor Dzierzbicki,483448115,18.035,,nędzny,460,1320,2,4,kontrowersyjny,opanowany,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Georg Merckel,483443461,18.036,,nędzny,260,1160,4,5,kontrowersyjny,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Robert Parulski,483464181,18.1,,nędzny,2890,1240,8,6,sympatyczny,opanowany,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Piotr Mlynkowiak,483458225,18.105,,nędzny,510,1080,7,6,złośliwy,porywczy,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Edward Rapalski,483463047,18.014,U,nędzny,3640,2760,7,6,przyjemny,opanowany,szlachetny,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Grzegorz Grzybicki,483455674,18.002,,fatalny,190,1080,6,6,złośliwy,porywczy,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Dominik Kurmanski,483462443,18.091,P,nędzny,670,1160,6,7,kontrowersyjny,zrównoważony,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Slawek Mrzyk,483464233,18.098,,nędzny,400,1000,7,5,sympatyczny,zrównoważony,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Rafal Stalewski,483456547,17.109,,nędzny,1690,1320,6,7,przyjemny,z charakterem,podły,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Tadeusz Rajfur,483462153,18.0,T,nędzny,2040,2480,6,5,kontrowersyjny,zrównoważony,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Daniel Suslo,483417169,18.03,U,nędzny,3200,1880,7,5,przyjemny,opanowany,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Baltazar Jamry,483423378,18.095,Q,nędzny,3610,1160,7,7,przyjemny,zrównoważony,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Lech Gugulski,483461828,18.033,P,nędzny,410,1080,4,5,sympatyczny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Andrzej Kurczewski,483424631,18.001,T,nędzny,650,1600,5,8,złośliwy,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Jaroslaw Osmalek,483439159,18.001,U,nędzny,5890,7000,6,6,kontrowersyjny,zrównoważony,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Piotr Derbin,483428532,18.071,U,nędzny,3780,1360,7,6,kontrowersyjny,zrównoważony,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Wilhelm Ryzner,483465606,17.11,U,nędzny,3070,1360,8,6,sympatyczny,spokojny,uczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Wojciech Serafeidis,483456046,18.001,,nędzny,4410,2520,8,6,sympatyczny,zrównoważony,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Stanislaw Jasienski,483456467,18.059,Q,nędzny,1740,1600,6,5,kontrowersyjny,zrównoważony,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Kamil Kozik,483456102,18.035,,nędzny,420,1320,4,4,sympatyczny,zrównoważony,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Maciej Kwasniewicz,483424179,18.043,,nędzny,500,1560,4,4,złośliwy,opanowany,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Dariusz Czerwczak,483417999,18.001,U,nędzny,4530,4080,7,6,sympatyczny,porywczy,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Dominik Baczkowski,483452809,18.018,U,fatalny,1370,1520,6,5,kontrowersyjny,z charakterem,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Radoslaw Hintzke,483415901,18.01,U,nędzny,1740,2760,7,5,przyjemny,z charakterem,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Rafal Pytlakowski,483461026,18.039,Q,nędzny,1650,1360,7,6,sympatyczny,z charakterem,podły,słaby,-,-,-,-,-,-,-,08.08.2024"
"Igor Wacek,483429062,18.005,,fatalny,1590,4200,3,4,kontrowersyjny,opanowany,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Wladyslaw Piekos,483462850,18.108,,nędzny,40,1000,2,4,przyjemny,zrównoważony,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Witold Dylka,483413547,18.046,P,fatalny,730,1520,5,5,przyjemny,porywczy,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Kazimierz Szlachetka,483460410,18.007,,nędzny,230,1240,4,5,sympatyczny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Daniel Golasinski,483452908,18.01,H,nędzny,1070,1440,4,6,kontrowersyjny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Jerzy Raczkowiak,483458440,18.004,,nędzny,1000,1320,6,5,sympatyczny,zrównoważony,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Fabrycjusz Kostra,483460183,18.021,H,nędzny,650,1280,6,5,sympatyczny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Ludomil Uzdrowski,483462402,18.079,P,nędzny,890,1080,7,4,przyjemny,z charakterem,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Patryk Wroblewski,483452581,18.094,,fatalny,1710,3720,5,5,kontrowersyjny,opanowany,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Mateusz Czekanski,483417582,18.003,,nędzny,330,1080,4,6,kontrowersyjny,opanowany,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Wieslaw Omelanczuk,483450290,17.11,H,fatalny,490,1080,6,6,kontrowersyjny,z charakterem,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Kasper Smigielski,483424619,17.111,U,nędzny,5640,1360,7,6,przyjemny,z charakterem,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Witold Blaszkowski,483475053,18.107,,nędzny,1180,2920,6,7,złośliwy,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Marcin Wolanin,483417042,18.02,U,nędzny,310,1080,3,6,sympatyczny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Bogusz Szachewicz,483465601,18.001,,nędzny,7390,4440,6,7,przyjemny,zrównoważony,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Bogdan Bernacki,483452820,18.05,,nędzny,740,1480,4,4,przyjemny,opanowany,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Jerzy Cwieczek,483474936,18.038,,nędzny,3340,5320,5,6,złośliwy,spokojny,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Michal Kotas,483435154,18.089,P,nędzny,280,1080,6,5,sympatyczny,opanowany,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Slawomir Sekunda,483458482,18.059,T,nędzny,1470,1880,4,5,kontrowersyjny,opanowany,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Przemyslaw Tomica,483427805,18.067,,nędzny,3790,1720,7,6,sympatyczny,porywczy,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Witold Kiec,483418448,18.001,U,nędzny,1890,2320,7,7,przyjemny,z charakterem,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Slawomir Radola,483465143,18.017,,nędzny,3440,5320,5,6,przyjemny,z charakterem,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Krzysztof Gajtkowski,483471045,18.03,,nędzny,870,1160,8,6,sympatyczny,spokojny,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Anzelm Faberski,483457650,17.11,,nędzny,680,1320,4,5,popularny,spokojny,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Edward Pala,483459376,18.059,T,nędzny,610,1080,7,7,przyjemny,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Daniel Sosik,483440730,18.02,,nędzny,600,1560,3,5,przyjemny,spokojny,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Tomasz Magielski,483467956,18.036,,fatalny,350,1160,3,4,kontrowersyjny,z charakterem,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Jozef Pukacz,483428963,18.035,Q,nędzny,480,1520,4,5,sympatyczny,spokojny,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Lucjan Chyrzynski,483421533,18.029,R,nędzny,260,1160,4,6,kontrowersyjny,z charakterem,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Kamil Przewloka,483413910,18.105,,nędzny,260,1000,5,5,przyjemny,z charakterem,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Sebastian Hernas,483476161,18.095,P,nędzny,720,2680,5,4,przyjemny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Tadeusz Zerek,483467374,18.003,H,nędzny,3660,2680,5,6,popularny,opanowany,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Cyryl Musielak,483462135,18.084,U,nędzny,720,1080,6,5,kontrowersyjny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Rajnard Dec,483461920,18.073,,nędzny,3350,1560,7,7,kontrowersyjny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Jacek Pyzio,483460726,18.004,,kiepski,3390,5400,5,6,przyjemny,spokojny,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Andrzej Molek,483463225,18.028,,nędzny,350,1480,1,4,sympatyczny,z charakterem,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Tadeusz Ziembicki,483457067,18.022,,nędzny,1110,1320,4,5,popularny,z charakterem,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Konrad Zultak,483456872,18.045,,nędzny,690,1240,6,5,kontrowersyjny,zrównoważony,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Gabriel Paz,483464459,18.018,,nędzny,250,1000,5,5,złośliwy,zrównoważony,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Slawomir Denkiewicz,483455129,18.005,H,nędzny,6090,3360,6,7,złośliwy,opanowany,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Juliusz Tobiasz,483462308,18.005,T,nędzny,1520,2840,5,7,sympatyczny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Tomasz Szybinski,483459570,18.002,,nędzny,3700,2440,6,6,sympatyczny,opanowany,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Piotr Hejmej,483460593,18.037,,nędzny,860,1480,4,4,przyjemny,z charakterem,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Dragomir Ciesiolka,483457259,18.021,,nędzny,570,1240,5,6,przyjemny,zrównoważony,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Damian Bal,483462094,18.01,,nędzny,9200,10760,5,7,przyjemny,opanowany,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Patryk Mlynkowiak,483462612,18.081,U,nędzny,530,1280,4,5,sympatyczny,zrównoważony,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Przemyslaw Feliksik,483467618,18.018,H,nędzny,4980,3640,7,6,przyjemny,opanowany,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Pafnucy Nocon,483474738,18.008,,nędzny,760,1240,5,6,przyjemny,porywczy,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Mateusz Klobus,483454828,18.054,Q,nędzny,1680,1520,5,4,popularny,zrównoważony,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Artur Duszka,483475550,18.002,,nędzny,3720,5720,7,6,sympatyczny,porywczy,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Miroslaw Muchowski,483457421,18.052,,nędzny,2000,1480,5,7,sympatyczny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Szymon Kepczynski,483454025,18.02,Q,nędzny,660,1440,5,5,przyjemny,spokojny,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Przemyslaw Nogal,483455046,18.037,P,nędzny,30,1000,1,4,sympatyczny,z charakterem,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Remigiusz Gaik,483461578,17.11,H,nędzny,5000,1280,8,6,złośliwy,zrównoważony,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Rajnard Stawna,483473844,18.089,,nędzny,5330,1400,7,5,przyjemny,z charakterem,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Karol Kurtycz,483459691,18.015,H,nędzny,2440,1440,8,5,kontrowersyjny,z charakterem,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Marek Balut,483463008,18.048,T,nędzny,6600,3120,7,7,przyjemny,opanowany,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Wiktor Krecicki,483459157,18.094,T,nędzny,170,1160,4,4,sympatyczny,zrównoważony,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Sascha Kampker,483457890,18.016,,nędzny,180,1000,6,4,przyjemny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Grzegorz Wardynski,483463005,18.045,P,nędzny,1720,1360,5,6,sympatyczny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Adrian Kurzyp,483457406,18.059,,nędzny,2010,1640,6,9,kontrowersyjny,spokojny,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Roman Andrushko,483459082,18.094,,nędzny,2380,1480,7,7,sympatyczny,z charakterem,nieuczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Andrzej Gorny,483457753,18.063,,nędzny,1160,3720,2,5,kontrowersyjny,z charakterem,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Andrzej Matuszczak,483473285,18.006,U,nędzny,410,1280,3,4,przyjemny,zrównoważony,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Patryk Hain,483457306,18.101,,nędzny,1130,1400,6,6,kontrowersyjny,porywczy,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Franciszek Pruchniewicz,483475563,18.04,H,nędzny,670,1360,5,6,przyjemny,opanowany,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Krzysztof Machalski,483467759,18.081,,nędzny,560,1160,5,6,przyjemny,zrównoważony,nieuczciwy,przeciętny,1,4,6,4,5,2,3,08.08.2024"
"Herman Mocha,483467314,18.02,U,nędzny,2250,2840,7,7,kontrowersyjny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Patryk Sternicki,483459323,18.061,,nędzny,2890,1480,8,5,popularny,opanowany,prawy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Tadeusz Olichwer,483458218,18.003,T,nędzny,830,1720,4,6,kontrowersyjny,spokojny,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Jerzy Szereg,483468511,17.109,,nędzny,680,1080,4,6,przyjemny,z charakterem,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Zygmunt Superson,483469358,18.018,P,nędzny,820,1520,7,5,kontrowersyjny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Jerzy Dolatowski,483456446,18.015,H,kiepski,5120,2840,7,5,przyjemny,spokojny,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Serwacy Zychowicz,483462170,18.021,,nędzny,1720,1480,6,5,kontrowersyjny,zrównoważony,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Dominik Tatur,483458427,18.096,,nędzny,1410,1320,7,7,przyjemny,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Achacy Biega,483455919,18.01,,nędzny,3070,2200,4,5,przyjemny,zrównoważony,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Stanislaw Jarosz,483465125,17.109,,nędzny,3780,1400,8,7,przyjemny,zrównoważony,szlachetny,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Krzysztof Szutkowski,483458429,18.053,,nędzny,4080,2040,8,5,kontrowersyjny,porywczy,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Wlodzimierz Kulka,483460601,18.038,,nędzny,16230,11080,6,6,przyjemny,opanowany,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Piotr Zablocki,483459151,18.02,,fatalny,840,1160,7,5,przyjemny,opanowany,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Piotr Adamowski,483467949,18.059,Q,nędzny,2270,1880,7,6,przyjemny,opanowany,prawy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Radoslaw Lusnia,483469462,18.089,,nędzny,3060,5000,5,4,sympatyczny,z charakterem,podły,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Kamil Kurlej,483474524,18.039,,nędzny,660,1480,7,6,kontrowersyjny,spokojny,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Michal Wisniewski,483465043,18.021,T,nędzny,780,1160,5,6,sympatyczny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
