"id,days in academy,speciality_academy,speciality,revealed day,speciality after promotion"
"Rudolf Jaworowicz,482120584,Q196,Q,196,Q"
"Jan Habel,482108464,P,P,,P"
"Karol Matysek,482052615,Q106,Q,106,Q"
"Feliks Pionke,482116890,P,P,,P"
"Blazej Weczera,482121714,Q106,Q,106,Q"
"Witold Szalapski,482117114,Q,Q,,Q"
"Aleksander Czepczor,482105663,P176,P,176,P"
"Jaroslaw Mordaka,482116779,P,P,,P"
"Marcin Smagacz,482111603,,,,"
"Zygmunt Gruchol,482122740,,,,"
"Marcin Jedrych,482052984,H,H,,H"
"Dobroslaw Micula,482126186,P155,P,155,P"
"Ariel Zydziak,482068658,,,,"
"Bartlomiej Woszczyna,482126722,P164,P,164,P"
"Krzesimir Galor,482109923,H,H,,H"
"Stefan Cupek,482093104,Q,Q,,Q"
"Tomasz Stepski,482119385,,,,"
"Piotr Jachna,482117801,,,,"
"Donald Petryk,482052145,,,,"
"Mariusz Plasek,482058329,P,P,,P"
"Czeslaw Dymarkowski,482093198,,,,"
"Lucjan Gawelczyk,482119927,U92,U,92,U"
"Edward Szlak,482086599,T98,T,98,T"
"Cezary Szwedzinski,482116736,,,,"
"Przemyslaw Mlynek,482069311,U71,U,71,U"
"Konstanty Siatecki,482121784,,,,"
"Szymon Ziemba,482126997,,,,"
"Ernest Wieprzkowicz,482102886,P,P,,P"
"Jacek Banczyk,482064506,U100,U,100,U"
"Waldemar Falecki,482127961,Q,Q,,Q"
"Robert Dudzik,482089582,,,,"
"Adam Hibner,482126567,U,U,,U"
"Samuil Byshovets,482121649,U,U,,U"
"Ludwik Dzwoniarek,482116354,,,,"
"Marcin Pieniak,482056436,H,H,,H"
"Gniewosz Szwajcer,482108053,,,,"
"Jerzy Malkusz,482120930,,,,"
"Eugeniusz Jakowski,482119663,,,,"
"Ryszard Kicia,482121709,Q127,Q,127,Q"
"Ludwik Mikunda,482115422,T,T,,T"
"Damian Laciak,482053043,,,,"
"Piotr Kicinski,482117422,P,P,,P"
"Wlodzimierz Burdelak,482121112,U,U,,U"
"Gabriel Jas,482094192,Q70,Q,70,Q"
"Aleksander Trzeciak,482116938,Q,Q,,Q"
"Przemyslaw Rosowski,482055648,,,,"
"Przemyslaw Fulara,482093933,H,H,,H"
"Fryderyk Kuczera,482068651,H,H,,H"
"Maciej Slawinski,482099786,,,,"
"Maciej Kolosowski,482121909,T,T,,T"
"Waclaw Boryszewski,482056319,P,P,,P"
"Kleofas Szopa,482110352,,,,"
"Marek Gorny,482058013,H,H,,H"
"Karol Fuglewicz,482109596,T,T,,T"
"Jeremi Tyras,482119417,Q78,Q,78,Q"
"Emil Kostro,482125990,,,,"
"Jozef Silenski,482086711,P70,P,70,P"
"Jan Wojtuszek,482110999,Q,Q,,Q"
"Robert Semczyszyn,482111443,H133,H,133,H"
"Adam Oplatek,482115253,Q74,Q,74,Q"
"Nikifor Zaton,482102962,H68,H,68,H"
"Walter Burchardt,482108914,,,,"
"Kastor Urbanczyk,482117092,,,,"
"Hiacynt Karabasz,482111444,,,,"
"Adam Dembek,482107448,,,,"
"Gwalbert Ulinski,482107080,,,,"
"Lubomir Koscielny,482117160,Q112,Q,112,Q"
"Karol Haski,482119997,,,,"
"Adrian Kruszynski,482127458,Q-1,Q,-1,Q"
"Wojciech Watorski,482110894,U92,U,92,U"
"Bohdan Pecold,482121364,H,H,,H"
"Marcel Traugutt,482062572,,,,"
"Anastazy Grzempowski,482069410,H,H,,H"
"Ignacy Krecisz,482068650,U,U,,U"
"Adam Binias,482108221,Q120,Q,120,Q"
"Szymon Watola,482065284,T,T,,T"
"Slawosz Bozko,482123598,P,P,,P"
"Jedrzej Wolczynski,482062624,T,T,,T"
"Eugeniusz Zakoscielny,482115053,,,,"
"Florian Plasek,482109270,,,,"
"Jan Bonna,482106792,,,,"
"Henryk Kusio,482117491,T,T,,T"
"Kamil Putyra,482056692,R,R,,R"
"Dawid Chucherko,482105860,,,,"
"Boguslaw Grzeszkowiak,482108915,P70,P,70,P"
"Artur Odachowski,482128498,H,H,,H"
"Hektor Kulawik,482069058,H248,H,248,H"
"Piotr Czmielewski,482109349,Q76,Q,76,Q"
"Mieczyslaw Wojsa,482108216,,,,"
"Dariusz Fremel,482068335,T127,T,127,T"
"Mieczyslaw Klewek,482099813,,,,"
"Cezary Chuchala,482110626,P143,P,143,P"
"Zygmunt Sulowski,482119656,,,,"
"Zygfryd Prysak,482128678,T-1,T,-1,T"
"Wieslaw Toporowski,482063990,,,,"
"Szymon Tloczek,482126701,,,,"
"Lucjan Papros,482116725,Q144,Q,144,Q"
"Gabriel Siedlec,482128629,,,,"
"Bogumil Rosol,482122166,Q,Q,,Q"
"Wlodzimierz Tkacz,482123458,,,,"
"Lucjan Motylinski,482065493,,,,"
"Kazimierz Gasik,482054157,Q-1,Q,-1,Q"
"Krzysztof Strzyz,482052869,,,,"
"Krzysztof Stodolec,482115470,P161,P,161,P"
"Adam Andrzejak,482069018,H134,H,134,H"
"Robert Wojtewicz,482054525,T,T,,T"
"Jan Glowiak,482060872,T84,T,84,T"
"Konrad Prochwicz,482119378,,,,"
"January Bonowicz,482121367,,,,"
"Patryk Rudobrody,482124382,P,P,,P"
"Piotr Wiencek,482115465,,,,"
"Honoriusz Popieluch,482053878,,,,"
"Mieczyslaw Zabawa,482111383,,,,"
"Leslaw Wycech,482108410,P100,P,100,P"
"Krzysztof Slabinski,482060512,,,,"
"Marek Gorzynski,482056046,,,,"
"Pawel Zmudzki,482052901,,,,"
"Rufus Rzasa,482080212,,,,"
"Symplicjusz Josarianski,482105694,U57,U,57,U"
"Idzi Wilczynski,482126465,Q57,Q,57,Q"
"Jozef Linetty,482123631,Q64,Q,64,Q"
"Dobiemir Grewling,482123264,,,,"
"Gerwazy Okolski,482080232,,,,"
"Robert Pawlicki,482128697,,,,"
"Bernard Wichary,482122295,Q64,Q,64,Q"
"Eustachy Halacz,482068788,Q64,Q,64,Q"
"Strzezyslaw Bus,482110262,U49,U,49,U"
"Jan Niemczynski,482113445,H50,H,50,H"
"Marceli Struzyna,482122440,Q55,Q,55,Q"
"Gustaw Sieron,482115242,,,,"
"Leszek Krasnicki,482111607,,,,"
"Slawomir Kacperek,482079623,,,,"
"Rafal Polak,482116889,,,,"
"Gabriel Prugar,482106668,H56,H,56,H"
"Apoloniusz Bizewski,482064765,T57,T,57,T"
"Wlodek Haluszczak,482116125,,,,"
"Albin Nader,482064796,Q56,Q,56,Q"
"Konrad Wszolek,482115549,Q50,Q,50,Q"
"Arsen Bilokon,482126608,Q80,Q,80,Q"
"Edward Kujawowicz,482064019,,,,"
"Maciej Budzan,482109592,Q74,Q,74,Q"
"Bozymir Chmielinski,482054748,H56,H,56,H"
"Roman Twardowski,482093481,Q50,Q,50,Q"
"Edward Chlebowski,482113824,,,,"
"Miloslaw Hetmanski,482060715,,,,"
"Tomasz Duplicki,482065365,H55,H,55,H"
"Walery Grden,482069162,H64,H,64,H"
"Jozef Skop,482119610,U50,U,50,U"
"Konrad Rykowski,482068873,,,,"
"Pawel Gierkowski,482061111,P59,P,59,P"
"Jerzy Juras,482055629,T183,T,183,T"
"Przemyslaw Latak,482109575,H50,H,50,H"
"Karol Bednarczyk,482112348,,,,"
"Cyryl Planeta,482127488,Q64,Q,64,Q"
"Marcin Labudzki,482117027,,,,"
"Tomasz Bukala,482057790,P113,P,113,P"
"Pawel Toszek,482115168,U36,U,36,U"
"Dobroslaw Frencel,482116775,,,,"
"Franciszek Proszynski,482054830,,,,"
"Waldemar Gorzelski,482092429,S36,S,36,S"
"Benedykt Zietara,482110988,H79,H,79,H"
"Wiktor Budny,482117717,H35,H,35,H"
"Roman Rodenberg,482111555,Q40,Q,40,Q"
"Damian Mysliwski,482117976,U53,U,53,U"
"Kleofas Rozewicz,482123934,,,,"
"Antoni Kocimski,482106405,,,,"
"Miroslaw Futoma,482079809,,,,"
"Antoni Andersz,482126809,H34,H,34,H"
"Cyprian Lorbiecki,482057795,H36,H,36,H"
"Artur Sorek,482060345,H81,H,81,H"
"Ernest Zygmuntowski,482117846,U56,U,56,U"
"Erich Thiereck,482057802,T40,T,40,T"
"Zenon Kociluk,482093944,,,,"
"Igor Kak,482116512,T40,T,40,T"
"Otto Pietron,482093475,,,,"
"Michal Chrapek,482064629,Q71,Q,71,Q"
"Jacek Wypich,482108950,H-1,H,-1,H"
"Wiktor Kil,482126097,,,,"
"Pawel Libura,482119235,,,,"
"Grzegorz Jagusiak,482053867,U45,U,45,U"
"Walter Keder,482129087,H43,H,43,H"
"Witold Lacny,482119512,P-1,P,-1,P"
"Boguslaw Augustyniak,482120571,,,,"
"Roman Marchewka,482093305,,,,"
"Dominik Klobucki,482108435,T42,T,42,T"
"Robert Zatorski,482116063,U43,U,43,U"
"Bogdan Kutyba,482109652,P-1,P,-1,P"
"Boryslaw Waclawek,482123993,P49,P,49,P"
"Sebastian Wegorowski,482110938,,,,"
"Dariusz Boguszewicz,482110929,S29,S,29,S"
"Andrzej Pilch,482121651,,,,"
"Wladyslaw Posnik,482120906,,,,"
"Jacek Knapczyk,482054399,U57,U,57,U"
"Olgierd Kraut,482053906,,,,"
"Lech Chwajol,482128358,,,,"
"Przemyslaw Mateusiak,482108415,U67,U,67,U"
"Jan Basiaga,482086703,P36,P,36,P"
"Stanislaw Stachon,482111047,P32,P,32,P"
"Przemyslaw Oczapiec,482065256,P32,P,32,P"
"Miroslaw Trajdos,482115067,,,,"
"Krystyn Geppert,482105811,T25,T,25,T"
"Miroslaw Jura,482056778,P29,P,29,P"
"Fryderyk Wojsz,482055425,,,,"
"Marian Strzyzewski,482116939,,,,"
"Grodzislaw Skrzypecki,482129089,,,,"
"Waldemar Budys,482055465,U28,U,28,U"
"Zygfryd Lagoda,482056204,H29,H,29,H"
"Marian Babol,482117971,,,,"
"Norbert Stajkowski,482093299,Q39,Q,39,Q"
"Jaroslaw Szczotka,482112842,P25,P,25,P"
"Henryk Trocha,482106477,P105,P,105,P"
"Filip Cyboron,482121397,,,,"
"Pelagiusz Bulgajewski,482093326,U8,U,8,U"
"Andrii Bytko,482065530,H22,H,22,H"
"Karol Krecicki,482124438,U8,U,8,U"
"Lech Podsiedlik,482061167,U39,U,39,U"
"Cieszymir Maleszewski,482110658,,,,"
"Edward Swierczynski,482111446,,,,"
"Juliusz Piasta,482109589,,,,"
"Marcin Remisz,482110010,T58,T,58,T"
"Edward Oryl,482116886,P53,P,53,P"
"Szymon Kisielewski,482128382,,,,"
"Serhii Sliusarchuk,482078274,,,,"
"Jakub Dorobisz,482090193,H78,H,78,H"
"Bogusz Kislowski,482114922,,,,"
"Marcin Narloch,482118684,,,,"
"Krystian Borowczyk,482059971,,,,"
"Zachary Karpus,482060117,,,,"
"Sebastian Dams,482111626,,,,"
"Adrian Jedrejek,482065326,U21,U,21,U"
"Pawel Maszczynski,482107620,U7,U,7,U"
"Filip Bochenek,482117155,Q22,Q,22,Q"
"Beniamin Stelmaszuk,482116850,T10,T,10,T"
"Wojciech Lowkiewicz,482053261,,,,"
"Witold Homik,482054209,P-1,P,-1,P"
"Stanislaw Kubczak,482114902,T56,T,56,T"
"Stanislaw Dudzinski,482121389,,,,"
"Robert Melcer,482116380,,,,"
"Wojciech Maciejuk,482093044,T115,T,115,T"
"Ostap Khomenko,482111641,Q15,Q,15,Q"
"Stanislaw Kijanski,482123062,P34,P,34,P"
"Stefan Huk,482116223,P8,P,8,P"
"Kazimierz Podowski,482111393,,,,"
"Adam Rubik,482126728,,,,"
"Marcin Stezewski,482129093,U14,U,14,U"
"Marek Gumulka,482061150,,,,"
"Bogdan Cwik,482115413,,,,"
"Marcin Kaczerski,482065196,,,,"
"Filip Krzemien,482110676,,,,"
"Kasjusz Surawski,482121212,U15,U,15,U"
"Sergiusz Zrebiec,482110579,,,,"
"Sebastian Szkatulski,482093921,,,,"
"Feliks Husko,482068377,U15,U,15,U"
"Wlodzimierz Pacholec,482068640,Q84,Q,84,Q"
"Boryslaw Zalucki,482111591,,,,"
"Dobromysl Zygmanski,482119935,,,,"
"Sergiusz Krystosik,482112896,,,,"
"Jozef Socha,482115540,,,,"
"Wladyslaw Pytlak,482109094,H53,H,53,H"
"Flawiusz Niesporek,482111081,Q19,Q,19,Q"
"Jerzy Bocek,482123955,T18,T,18,T"
"Arkadiusz Skrzypski,482093286,,,,"
"Ignacy Wojsa,482108386,Q24,Q,24,Q"
"Waclaw Kociak,482064824,P22,P,22,P"
"Waclaw Cieciera,482102928,P59,P,59,P"
"Marceli Czyzniewski,482106866,,,,"
"Igor Maronski,482127369,,,,"
"Krzysztof Supinski,482110659,Q15,Q,15,Q"
"Przemyslaw Wasacz,482110085,,,,"
"Wladyslaw Gajdosz,482055532,,,,"
"Boleslaw Swiatek-Brzezinski,482121669,U29,U,29,U"
"Dariusz Bramowicz,482092470,,,,"
"Tadeusz Boroch,482073420,T74,T,74,T"
"Arkadiusz Strozynski,482118301,,,,"
"Roman Koteras,482064231,P30,P,30,P"
"Ludwik Suchodolski,482057966,P62,P,62,P"
"Marcin Stezala,482127020,Q22,Q,22,Q"
"Grzegorz Wielopolski,482062550,U45,U,45,U"
"Piotr Kociszewski,482109228,,,,"
"Pawel Oleszczak,482108285,Q24,Q,24,Q"
"Stanislaw Smakulski,482122825,,,,"
"Aleksander Kozon,482123268,,,,"
"Orest Danczak,482126455,,,,"
"Krzesimir Starczyk,482107001,U116,U,116,U"
"Jerzy Glebowski,482105692,,,,"
"Herbert Schulze-Kosling,482115578,P1,P,1,P"
"Grodzislaw Burczynski,482061237,,,,"
"Lech Nawloka,482054330,H136,H,136,H"
"Waldemar Radziak,482121236,P123,P,123,P"
"Jozef Balecki,482119810,U1,U,1,U"
"Jedrzej Markowski,482093333,U45,U,45,U"
"Patryk Oruba,482118336,S29,S,29,S"
"Waldemar Gunia,482116130,,,,"
"Andrzej Stocki,482055521,,,,"
"Piotr Kmin,482055621,U0,U,0,U"
"Eugeniusz Trochimiak,482099937,,,,"
"Antoni Rybaltowski,482061312,T114,T,114,T"
"Piotr Trzaskalik,482060017,P46,P,46,P"
"Grzegorz Kuzaj,482090254,T57,T,57,T"
"Przemek Hassa,482061009,U14,U,14,U"
"Dariusz Gradzinski,482127211,T-1,T,-1,T"
"Boleslaw Cal,482068468,Q8,Q,8,Q"
"Antoni Kalek,482065283,,,,"
"Arkadiusz Ryszkowski,482110666,,,,"
"Przemyslaw Popis,482109564,Q66,Q,66,Q"
"Wieslaw Lukowicz,482078318,H11,H,11,H"
"Wojciech Szarzynski,482115472,,,,"
"Szczeslaw Malmur,482115899,P22,P,22,P"
"Marian Dowbor,482114848,Q14,Q,14,Q"
"Ernest Gawel,482116471,U101,U,101,U"
"Boguslaw Gnatowski,482061428,Q8,Q,8,Q"
"Boleslaw Kobylarz,482106521,P18,P,18,P"
"Kazimierz Skibski,482127437,,,,"
"Anzelm Nabrdalik,482064742,,,,"
"Bogdan Jasny,482107388,T4,T,4,T"
"Przemyslaw Popis,482109564,Q66,Q,66,Q"
"Marian Dowbor,482114848,Q14,Q,14,Q"
"Ernest Gawel,482116471,U101,U,101,U"
"Tobiasz Chudyk,482060832,,,,"
"Wladyslaw Warsiewicz,482093468,,,,"
"Bogdan Glownia,482120801,Q100,Q,100,Q"
"Piotr Rybakowski,482093465,P7,P,7,P"
"Damian Sionek,482117636,,,,"
"Zbigniew Lapa,482064626,S33,S,33,S"
"Nikodem Brykalski,482093019,,,,"
"Maciej Poczatek,482110457,Q60,Q,60,Q"
"Ireneusz Mazurczyk,482058188,,,,"
"Patryk Wysielski,482107546,Q14,Q,14,Q"
"Beniamin Scibior,482126526,Q46,Q,46,Q"
"Tomasz Formela,482115866,,,,"
"Miroslaw Musialkiewicz,482116229,,,,"
"Radoslaw Barlowski,482093213,H57,H,57,H"
"Przemyslaw Krzemien,482111539,Q94,Q,94,Q"
"Ireneusz Wczesniak,482107886,,,,"
"Tadeusz Mazurkiewicz,482111665,,,,"
"Jaroslaw Justa,482128537,,,,"
"Feliks Kiepas,482124574,H1,H,1,H"
"Kasjusz Zwierciadlowski,482107179,U-1,U,-1,U"
"Wlodzimierz Hutek,482119890,Q93,Q,93,Q"
"Ryszard Antos,482127710,P1,P,1,P"
"Tobiasz Kluczynski,482106698,,,,"
"Siegrich Landau,482126699,T3,T,3,T"
"Marek Karolik,482093214,,,,"
"Aleksander Jackow,482069406,,,,"
"Stefan Kucia,482108400,H-1,H,-1,H"
"Rafal Langowski,482115476,,,,"
"Maurycy Pawelczuk,482064221,Q-1,Q,-1,Q"
"Maurycy Kolaga,482116386,T6,T,6,T"
"Stanislaw Suker,482129185,,,,"
"Remigiusz Migdalski,482107499,,,,"
"Marian Szalbot,482064583,,,,"
"Waldemar Szczyglewski,482129443,U1,U,1,U"
"Zdzislaw Czerkies,482080230,,,,"
"Aaron Josua Hischer,482115848,H18,H,18,H"
"Roman Plochocki,482115574,H0,H,0,H"
"Romuald Scislo,482112438,,,,"
"Michal Kupka,482123467,T114,T,114,T"
"Wojciech Kisza,482055471,,,,"
"Gustaw Proszek,482110600,T-1,T,-1,T"
"Herman Radziejewski,482117158,T31,T,31,T"
"Adrian Hering,482118496,,,,"
"Hubert Wanat,482053397,H59,H,59,H"
"Witold Bryll,482126297,T-1,T,-1,T"
"Dariusz Kobylanski,482109358,T4,T,4,T"
"Tomasz Hubicki,482086644,H4,H,4,H"
"Jozef Woszczynski,482107666,,,,"
"Radoslaw Las,482102048,,,,"
"Stefan Lehman,482069134,Q2,Q,2,Q"
"Alan Bacinski,482073915,P1,P,1,P"
"Krzysztof Strzyga,482109854,H120,H,120,H"
"Tomasz Fajler,482108922,H14,H,14,H"
"Pawel Malinowski,482105934,,,,"
"Zbigniew Bakalarz,482065551,,,,"
"Arkadiusz Golian,482129702,T-1,T,-1,T"
"Bazyli Franaszek,482111515,P5,P,5,P"
"Konrad Bialek,482105800,T22,T,22,T"
"Rudolf Zyto,482107502,,,,"
"Mateusz Nowakowski,482118194,H39,H,39,H"
"Roscislaw Klomowicz,482091596,T4,T,4,T"
"Leopold Zaborowicz,482062787,T38,T,38,T"
"Roland Chachurski,482122330,T-1,T,-1,T"
"Witold Wionczyk,482107249,Q17,Q,17,Q"
"Leon Bulik,482119151,,,,"
"Adam Biziewski,482116969,,,,"
"Waldemar Filistowicz,482126944,,,,"
"Oskar Obolewicz,482079818,,,,"
"Maciej Stretowicz,482108486,,,,"
"Slawomir Warecha,482117893,P39,P,39,P"
"Damian Zielecki,482103080,U-1,U,-1,U"
"Wojciech Zylinski,482111616,U4,U,4,U"
"Tomasz Kopras,482061234,,,,"
"Jens Deckert,482122096,Q25,Q,25,Q"
"Jan Oliver Groove,482129163,T37,T,37,T"
"Bogusz Slowiena,482121203,,,,"
"Romuald Miazga,482115824,,,,"
"Damian Staszek,482102033,,,,"
"Cezary Sokolowski,482054834,,,,"
"Ryszard Jukowski,482121001,T100,T,100,T"
"Sobieslaw Kamola,482091494,,,,"
"Pawel Sliwkiewicz,482106454,Q37,Q,37,Q"
"Karol Kordas,482106751,T3,T,3,T"
"Bogdan Labowski,482110892,P3,P,3,P"
"Jaroslaw Gorna,482128117,,,,"
"Wiktor Filipkiewicz,482105740,H2,H,2,H"
"Lukasz Krzysiek,482106673,Q4,Q,4,Q"
"Jan Szostek,482060518,,,,"
"Jakub Dublanski,482060208,,,,"
"Feliks Pakura,482122286,,,,"
"Mateusz Wiktorski,482086747,P4,P,4,P"
"Kamil Brodka,482108455,,,,"
"Rafal Grobelski,482129798,,,,"
"Cezary Szyja,482126525,,,,"
"Mariusz Pachowski,482109542,,,,"
"Lukasz Wanowski,482108967,H7,H,7,H"
"Przemyslaw Stroz,482111055,U14,U,14,U"
"Maciej Andersson,482122144,,,,"
"Mateusz Kazmierczak,482123393,Q18,Q,18,Q"
"Konrad Lemanowicz,482127056,H82,H,82,H"
"Pawel Olstowski,482107000,,,,"
"Pawel Byczkowski,482060703,H65,H,65,H"
"Remigiusz Zamorski,482122746,,,,"
"Alois Franz Glockler,482107775,U6,U,6,U"
"Przemyslaw Michnik,482112966,Q4,Q,4,Q"
"Cezary Kostrzewski,482116341,,,,"
"Zdzislaw Kaczmarek,482119964,Q65,Q,65,Q"
"Edward Luczkiewicz,482108360,,,,"
"Lukasz Ulanowski,482129566,P-1,P,-1,P"
"Barnaba Galeziewski,482128896,U17,U,17,U"
"Stanislaw Wrzesniewski,482113766,,,,"
"Karol Sloka,482079825,,,,"
"Wojciech Maleszak,482089461,H2,H,2,H"
"Boguslaw Lykowski,482107384,,,,"
"Roman Gadecki,482112981,P43,P,43,P"
"Ireneusz Piech,482092368,U23,U,23,U"
"Gerwazy Ulanowski,482065579,,,,"
"Edward Karwan,482121445,,,,"
"Joachim Chrzastowski,482123502,,,,"
"Radomir Nowocinski,482117485,,,,"
"Roman Gibek,482108849,,,,"
"Sebastian Perelka,482127895,,,,"
"Szymon Siemko,482113788,,,,"
"Franciszek Matus,482123344,T8,T,8,T"
"Marek Dzionsko,482107768,,,,"
"Zenon Fiolka,482115580,,,,"
"Piotr Lapinski,482118136,U1,U,1,U"
"Stanislaw Stanik,482123571,,,,"
"Szymek Rutkowski,482118423,,,,"
"Radek Rand,482122720,,,,"
"Aleksander Wasilczyk,482055402,,,,"
"Leslaw Tloczny,482121239,Q7,Q,7,Q"
"Marek Smagacz,482114856,Q9,Q,9,Q"
"Mieczyslaw Zagumny,482129703,,,,"
"Artur Wyczolkowski,482060877,,,,"
"Jacek Jarzebowski,482089422,U95,U,95,U"
"Andrzej Bialek,482050215,,,,"
"Lukasz Gmitrzuk,482133647,U,U,,U"
"Remigiusz Wolman,482175082,,,,"
"Przemyslaw Szumlanski,482175248,U,U,,U"
"Krzysztof Frykowski,482180165,T,T,,T"
"Szczeslaw Zapolski,482135445,,,,"
"Andrzej Zmuda,482187532,P196,P,196,P"
"Eddy Piesch,482173687,U126,U,126,U"
"Adam Busko,482181597,H133,H,133,H"
"Juliusz Strawinski,482136143,,,,"
"Lukasz Szatanek,482158278,,,,"
"Dominik Lenc,482132610,,,,"
"Gniewosz Rombel,482184636,,,,"
"Grodzislaw Zorawski,482172519,,,,"
"Ireneusz Sliwinski,482157046,,,,"
"Dragomir Ferenc,482142211,U141,U,141,U"
"Leslaw Rozum,482178607,,,,"
"Julian Kamienicki,482172520,,,,"
"Wojciech Miszka,482176265,,,,"
"Krzysztof Grzadkowski,482136558,T185,T,185,T"
"Piotr Dul,482189053,T237,T,237,T"
"Dawid Jarnut,482163919,,,,"
"Jan Bisztyga,482139504,,,,"
"Kosma Filipczak,482175890,U168,U,168,U"
"Zenon Omyla,482173682,,,,"
"Wladyslaw Jochemko,482150803,H232,H,232,H"
"Tomasz Stuczynski,482151821,,,,"
"Waldemar Lindner,482175415,Q,Q,,Q"
"Wiktor Piotrkowski,482178213,T,T,,T"
"Sylwester Rusak,482158847,,,,"
"Sebastian Pizon,482166208,Q165,Q,165,Q"
"Ryszard Bonda,482177604,,,,"
"Waclaw Trawka,482171091,,,,"
"Cezary Ryczek,482130715,,,,"
"Waclaw Skora,482130008,U,U,,U"
"Jedrzej Lonc,482130205,U,U,,U"
"Aleksy Bachorski,482182877,H119,H,119,H"
"Tomasz Racis,482152195,Q,Q,,Q"
"Mateusz Machera,482186045,,,,"
"Edward Windak,482174119,U148,U,148,U"
"Wladyslaw Hajduk,482175593,,,,"
"Jacek Osewski,482185724,,,,"
"Jakub Hans,482184481,,,,"
"Jakub Kupiszewski,482179015,U,U,,U"
"Julian Swiderek,482156235,,,,"
"Marcin Fak,482174171,,,,"
"Stanislaw Hauska,482180681,,,,"
"Hieronim Bosek,482128900,,,,"
"Radoslaw Warchal,482174168,,,,"
"Borys Slodowicz,482172327,,,,"
"Otto Kern,482169576,,,,"
"Kamil Manikowski,482141622,,,,"
"Racimir Krzos,482185577,U,U,,U"
"Dominik Miszka,482132486,H130,H,130,H"
"Rafal Bizub,482180992,Q196,Q,196,Q"
"Sebastian Krause,482178485,P,P,,P"
"Wolf Dietrich Oehmchen,482160579,H,H,,H"
"Sebastian Giec,482173787,H,H,,H"
"Bogdan Kolsut,482173123,,,,"
"Edmund Brach,482161312,H152,H,152,H"
"Jozef Stekiel,482173696,,,,"
"Mariusz Kiernozek,482142637,,,,"
"Kajetan Potocki,482138439,,,,"
"Karol Kosewski,482184835,,,,"
"Borys Rudkiewicz,482182964,H,H,,H"
"Arkadiusz Tumidajewicz,482168801,,,,"
"Zygmunt Wilner,482136336,,,,"
"Szymon Bury,482177894,,,,"
"Damian Put,482154010,P,P,,P"
"Przemyslaw Szeszko,482133551,,,,"
"Stanislaw Pokrant,482171363,,,,"
"Krzysztof Przepiora,482174137,P,P,,P"
"Sylweriusz Ostromecki,482174333,T168,T,168,T"
"Bogdan Bilinski,482178102,H,H,,H"
"Jakub Rzopecki,482180137,U,U,,U"
"Zygfryd Kucza,482144733,H-1,H,-1,H"
"Valerian Halun,482154856,T,T,,T"
"Daniel Kuglarz,482186068,Q266,Q,266,Q"
"Radoslaw Jagas,482131407,Q-1,Q,-1,Q"
"Mateusz Szmuda,482170350,H157,H,157,H"
"Eugeniusz Rudzinski,482171709,,,,"
"Wojciech Gerus,482175665,,,,"
"Jan Glazewski,482176083,Q298,Q,298,Q"
"Olgierd Tuwim,482177323,H166,H,166,H"
"Slawosz Wereszczynski,482183589,,,,"
"Jozef Szymichowski,482131418,,,,"
"Hubert Bauza,482177395,,,,"
"Kasjan Igielski,482171850,,,,"
"Oleksandr Mazur,482171977,,,,"
"Jeremiasz Stodolny,482151750,P238,P,238,P"
"Radoslaw Macuda,482174710,Q,Q,,Q"
"Mateusz Golembiewski,482191509,P,P,,P"
"Hubert Sieduszewski,482181943,,,,"
"Dominik Kolkowski,482175133,,,,"
"Szymon Ptak,482191225,U75,U,75,U"
"Teofil Kalwa,482187361,,,,"
"Aleksander Smutek,482134587,,,,"
"Robert Fatyga,482191599,,,,"
"Roman Stokfisz,482132882,,,,"
"Bartlomiej Wawrzyczek,482132552,,,,"
"Krzysztof Pisarczyk,482173115,,,,"
"Dominik Smelkowski,482175489,T,T,,T"
"Borys Duszak,482184273,U168,U,168,U"
"Daniel Zawisla,482138269,,,,"
"Gustaw Rokicki,482170870,Q91,Q,91,Q"
"Lukasz Pankow,482172252,P78,P,78,P"
"Wlodzimierz Hanowski,482178419,,,,"
"Cyprian Listopad,482140049,Q,Q,,Q"
"Adrian Sankowski,482186029,,,,"
"Krystian Niedzwiedz,482186763,P,P,,P"
"Emil Minkiewicz,482159953,U241,U,241,U"
"Kazimierz Giatrych,482133064,,,,"
"Tadeusz Berk,482176940,Q178,Q,178,Q"
"Jozef Latko,482172830,,,,"
"Damian Parulec,482179287,,,,"
"Bartlomiej Mikler,482154095,,,,"
"Antoni Dlugosz,482145959,H,H,,H"
"Edward Chatys,482175988,P78,P,78,P"
"Darek Oniszko,482173468,H,H,,H"
"Walery Loda,482171849,P,P,,P"
"Zdzislaw Stawiarz,482191856,U,U,,U"
"Kacper Wasztyl,482137149,Q78,Q,78,Q"
"Daniel Malczak,482156226,P,P,,P"
"Faustyn Pieczynski,482168630,,,,"
"Zbigniew Galczak,482173822,Q,Q,,Q"
"Czeslaw Krasa,482133957,,,,"
"Artur Grajek,482167662,,,,"
"Edward Durma,482138997,,,,"
"Stefan Rabsztyn,482180405,,,,"
"Mateusz Wysowski,482186610,U,U,,U"
"Mieczyslaw Zawieja,482158409,Q96,Q,96,Q"
"Artur Banach,482136815,,,,"
"Szymon Gajewski,482176647,,,,"
"Artur Rogulski,482177334,Q,Q,,Q"
"Wladyslaw Rewaj,482179155,,,,"
"Jozef Szoszuk,482170226,,,,"
"Grzegorz Obara,482159161,T89,T,89,T"
