"player,since,id,body,face,eyes,mouth,nose,hair,gentleness,aggressiveness,honesty,leadership"
"Bronislaw Wiczkowski,2,478202666,bd8,f6,e27b,m35b,n10,h5,kontrowersyjny,zrównoważony,prawy,nędzny"
"Dominik Nita,3,478197190,bd10,f2,e3c,m9c,n23,h12,sympatyczny,zrównoważony,prawy,nędzny"
"Jozef Markiewka,0,478224182,bd5,f3,e3c,m28c,n35,h14,sympatyczny,opanowany,uczciwy,zadowalający"
"Mieczyslaw Skrzyszewski,2,478207053,bd1,f1,e9c,m24c,n7me,h0,sympatyczny,opanowany,uczciwy,fatalny"
"Miroslaw Szygulski,3,478194573,bd3,f1,e9c,m30c,n17,h15,przyjemny,opanowany,prawy,słaby"
"Piotr Trzesicki,2,478204018,bd9,f5,e36b,m36b,n14,h10,kontrowersyjny,zrównoważony,nieuczciwy,zadowalający"
"Maurycy Pilarski,1,478212118,bd7,f8,e35c,m16c,n28,h6,przyjemny,opanowany,nieuczciwy,nędzny"
"Maximilian Falkenmayer,2,478199943,bd11,f7,e23c,m33c,n28,h0,sympatyczny,zrównoważony,uczciwy,nędzny"
"Przemyslaw Miedlar,0,478222296,bd12,f3,e4c,m31c,n28,h10,sympatyczny,opanowany,nieuczciwy,słaby"
"Szymon Nejman,1,478217674,bd9,f8,e19c,f8bem34c,f8ben35,h2,sympatyczny,zrównoważony,uczciwy,kiepski"
"Bartlomiej Pietrek,2,478207443,bd10,f4,e31b,m9b,n29,h3,kontrowersyjny,z charakterem,nieuczciwy,słaby"
"Norbert Szczerbiak,1,478216457,bd12,f3,e34c,m1c,n20,h1,sympatyczny,porywczy,nieuczciwy,solidny"
"Jan Rekawek,1,478211324,bd2,f1,e6c,f1bem36c,f1ben21,h14,sympatyczny,zrównoważony,uczciwy,zadowalający"
"Marek Grzejdziak,3,478196840,bd6,f1,e24c,m4cg,n23me,h6,przyjemny,zrównoważony,uczciwy,nędzny"
"Konstanty Raczka,1,478218021,bd8,f2,e1c,m21c,n12,h15,przyjemny,zrównoważony,nieuczciwy,kiepski"
"Artur Cetera,0,478220884,bd10,f1,e13c,m14c,n26mc,h4,popularny,z charakterem,uczciwy,zadowalający"
"Przemyslaw Pyza,2,478200436,bd9,f2,e18c,m27c,n12,h5,sympatyczny,opanowany,nieuczciwy,słaby"
"Inokentii Sydoruk,1,478217848,bd5,f6,e27b,m3b,n30,h10,kontrowersyjny,zrównoważony,uczciwy,słaby"
"Leonard Warzycki,3,478191986,bd10,f8,e22c,m7c,n9,h8,sympatyczny,z charakterem,prawy,słaby"
"Dominik Szumigaj,3,478194221,bd11,f7,e26c,f7bem39c,f7ben36,h1,przyjemny,z charakterem,uczciwy,przeciętny"
"Eugeniusz Polanczyk,2,478207693,bd11,f9,e24b,m30b,n17,h5,kontrowersyjny,z charakterem,nieuczciwy,słaby"
"Leslaw Szachta,1,478213167,bd5,f5,e31b,m30b,n4,h0,kontrowersyjny,opanowany,uczciwy,słaby"
"Arkadiusz Wolnicki,2,478207667,bd1,f3,e4c,m21c,n20,h8,przyjemny,zrównoważony,prawy,słaby"
"Wojciech Hubner,3,478194601,bd4,f5,e7c,m28c,n16,h0,popularny,zrównoważony,prawy,zadowalający"
"Wojciech Lik,3,478191843,bd9,f3,e5c,m9c,n10,h13,popularny,z charakterem,uczciwy,kiepski"
"Bronislaw Sierociuk,2,478208701,bd1,f7,e34a,m34a,n39,h5,złośliwy,zrównoważony,szlachetny,przeciętny"
"Donald Zubko,3,478194748,bd9,f7,e14c,m33c,n39,h15,sympatyczny,opanowany,prawy,słaby"
"Karol Gasiewski,3,478195955,bd9,f1,e11c,m31c,n4,h12,przyjemny,z charakterem,prawy,słaby"
"Havrylo Drapenko,1,478215319,bd1,f2,e19b,f2bem31b,f2ben31,h5,kontrowersyjny,zrównoważony,prawy,przeciętny"
"Ferdynand Chwast,2,478202732,bd3,f5,e29c,m27c,n38,h3,przyjemny,zrównoważony,prawy,zadowalający"
"Jakub Kopacz,2,478208347,bd9,f5,e27b,m7b,n24,h12,kontrowersyjny,porywczy,uczciwy,słaby"
"Daniel Mynarski,3,478193959,bd11,f4,e24b,m9b,n15,h5,kontrowersyjny,zrównoważony,uczciwy,słaby"
"Czeslaw Galanek,0,478221245,bd9,f9,e31c,m34c,n30,h12,popularny,zrównoważony,uczciwy,solidny"
"Piotr Grygiel,1,478218572,bd11,f5,e29b,m28b,n24,h10,kontrowersyjny,zrównoważony,prawy,kiepski"
"Tytus Musialowicz,0,478222914,bd6,f8,e22c,m32c,n35,h1,sympatyczny,opanowany,uczciwy,solidny"
"Jan Jaworski,1,478211966,bd4,f5,e25c,m30c,n31,h1,przyjemny,spokojny,prawy,solidny"
"Karol Krawiel,1,478209641,bd7,f4,e27c,m4c,n25,h14,przyjemny,z charakterem,prawy,przeciętny"
"Piotr Ogieglo,1,478210894,bd6,f4,e22b,m28b,n19,h10,kontrowersyjny,zrównoważony,uczciwy,kiepski"
"Jerzy Fedyszyn,3,478191380,bd7,f5,e23b,m35b,n38,h14,kontrowersyjny,zrównoważony,nieuczciwy,nędzny"
"Zbigniew Rejewski,0,478221868,bd7,f9,e32c,f9bem3c,f9ben34,h8,przyjemny,opanowany,uczciwy,przeciętny"
"Adam Koldej,2,478203248,bd9,f8,e8c,m9c,n22,h3,przyjemny,spokojny,uczciwy,zadowalający"
"Waldemar Lazarowicz,2,478207811,bd7,f5,e29c,m14c,n4,h14,popularny,opanowany,uczciwy,nędzny"
"Kryspin Fijalkowski,0,478220173,bd9,f1,e21c,m19c,n18,h2,sympatyczny,zrównoważony,prawy,słaby"
"Kleofas Korkia,2,478203814,bd5,f2,e21c,m12c,n12,h4,przyjemny,z charakterem,uczciwy,słaby"
"Wieslaw Pomorski,2,478208665,bd4,f7,e29c,m38c,n40,h10,przyjemny,spokojny,uczciwy,nędzny"
"Ludwik Giczewski,0,478223954,bd8,f3,e5c,m7c,n4,h2,przyjemny,spokojny,nieuczciwy,zadowalający"
"Adrian Fik,2,478207909,bd2,f8,e17c,m33c,n26,h2,przyjemny,z charakterem,prawy,nędzny"
"Radoslaw Naporowski,0,478220172,bd2,f7,e20b,m32b,n35,h3,kontrowersyjny,zrównoważony,szlachetny,nędzny"
"Florian Jonca,3,478196487,bd7,f1,e10c,m6c,n1,h3,sympatyczny,zrównoważony,uczciwy,słaby"
"Marian Nerc,0,478221238,bd8,f6,e21c,m7c,n26,h1,przyjemny,zrównoważony,uczciwy,zadowalający"
"Krzysztof Kublik,3,478197884,bd3,f1,e21a,m17a,n18,h3,złośliwy,opanowany,uczciwy,przeciętny"
"Jozef Kluk,0,478221032,bd7,f4,e13c,m7c,n12,h0,przyjemny,z charakterem,nieuczciwy,słaby"
"Edward Kowaluk,1,478216263,bd2,f3,e27b,m16b,n12,h13,kontrowersyjny,zrównoważony,uczciwy,słaby"
"Dariusz Siadak,2,478209447,bd10,f9,e24c,m2c,n10,h10,przyjemny,spokojny,prawy,kiepski"
"Adam Scherfchen,1,478219328,bd2,f5,e12b,f5bem34b,f5ben28,h6,kontrowersyjny,opanowany,uczciwy,kiepski"
"Jaroslaw Hulak,2,478199744,bd10,f5,e23c,m11c,n27,h3,sympatyczny,porywczy,uczciwy,przeciętny"
"Bartlomiej Dryla,1,478214798,bd10,f2,e11c,m35c,n28,h13,przyjemny,opanowany,uczciwy,zadowalający"
"Mateusz Radzik,0,478223515,bd7,f5,e10c,m35c,n20,h12,popularny,opanowany,prawy,zadowalający"
"Aleksander Slupecki,1,478217802,bd12,f4,e23c,m12c,n18,h3,przyjemny,opanowany,prawy,słaby"
"Tadeusz Dyniak,1,478217297,bd3,f2,e13c,f2bem15c,f2ben24,h7,przyjemny,zrównoważony,uczciwy,słaby"
"Lukasz Kolodziejczak,0,478221005,bd3,f5,e22c,m2c,n24,h10,przyjemny,opanowany,nieuczciwy,zadowalający"
"Mieczyslaw Wierciak,2,478201570,bd12,f1,e26c,f1bem14c,f1ben4,h15,przyjemny,z charakterem,szlachetny,fatalny"
"Gustaw Ratomski,2,478208513,bd2,f5,e3b,m33b,n10,h1,kontrowersyjny,zrównoważony,prawy,przeciętny"
"Stanislaw Kwiek,1,478217229,bd10,f6,e27c,m7c,n30,h15,popularny,opanowany,uczciwy,zadowalający"
"Krzysztof Chruscik,2,478199563,bd2,f6,e8c,m13c,n1,h8,sympatyczny,zrównoważony,uczciwy,zadowalający"
"Emil Zwiernik,1,478211769,bd3,f9,e10b,m13b,n32,h2,kontrowersyjny,spokojny,prawy,kiepski"
"Witold Ryczkowski,1,478211807,bd9,f9,e30c,f9bem29c,f9ben33,h12,popularny,zrównoważony,uczciwy,zadowalający"
"Marcin Pajewski,1,478218258,bd11,f9,e34b,m3b,n17,h9,kontrowersyjny,porywczy,uczciwy,słaby"
"Slawomir Biskowski,1,478215471,bd11,f8,e23c,m7c,n30,h11,popularny,porywczy,prawy,przeciętny"
"Tadeusz Osewski,3,478196378,bd8,f1,e25c,m7c,n6,h1,przyjemny,spokojny,uczciwy,słaby"
"Juliusz Luka,3,478193113,bd2,f1,e12c,m3c,n26,h3,przyjemny,opanowany,uczciwy,zadowalający"
"Erhard Petelski,3,478194938,bd10,f4,e36c,m13c,n35,h4,przyjemny,zrównoważony,nieuczciwy,nędzny"
"Robert Fiutowski,1,478215449,bd8,f5,e24c,f5bem13c,f5ben39,h2,sympatyczny,opanowany,prawy,zadowalający"
"Bartosz Grzankowski,3,478195905,bd4,f3,e5b,m10bg,n4,h5,kontrowersyjny,zrównoważony,nieuczciwy,słaby"
"Fryderyk Pipczynski,2,478200438,bd4,f4,e24b,m35b,n20,h14,kontrowersyjny,opanowany,nieuczciwy,zadowalający"
"Janusz Zabowski,1,478211474,bd7,f6,e15b,m35b,n30,h0,kontrowersyjny,zrównoważony,uczciwy,nędzny"
"Tymon Krotofil,0,478222644,bd11,f7,e26c,m14c,n39,h10,przyjemny,porywczy,uczciwy,nędzny"
"Dariusz Placzek,3,478193690,bd2,f5,e27c,m36c,n10,h12,przyjemny,zrównoważony,prawy,solidny"
"Jerzy Kossakowski,1,478212414,bd1,f1,e1c,m1cg,n28me,h11,popularny,opanowany,uczciwy,przeciętny"
"Amadeusz Boratyn,2,478199731,bd10,f3,e13a,m32a,n4,h10,złośliwy,z charakterem,prawy,przeciętny"
"Bronislaw Romanow,1,478211794,bd6,f5,e28c,m3c,n20,h9,przyjemny,z charakterem,uczciwy,przeciętny"
"Jonatan Konc,1,478215642,bd1,f7,e36c,m33c,n15,h4,przyjemny,zrównoważony,prawy,kiepski"
"Dominik Kwasniewski,1,478217878,bd11,f1,e13c,f1bem17c,f1ben4,h6,popularny,opanowany,nieuczciwy,słaby"
"Hubert Babicki,0,478222517,bd2,f9,e24c,m9c,n11,h5,sympatyczny,zrównoważony,uczciwy,zadowalający"
"Ferdynand Chmielowiec,2,478203570,bd3,f2,e17b,m25b,n8,h6,kontrowersyjny,zrównoważony,uczciwy,kiepski"
"Piotr Rokicki,2,478209168,bd11,f1,e19a,m6a,n1,h14,złośliwy,porywczy,prawy,słaby"
"Mariusz Kadula,1,478217804,bd9,f8,e16b,m4b,n23,h1,kontrowersyjny,spokojny,nieuczciwy,słaby"
"Jedrek Buterski,3,478194487,bd8,f3,e5b,f3bem15b,f3ben18,h1,kontrowersyjny,opanowany,prawy,nędzny"
"Feliks Jaguszewski,2,478200005,bd10,f6,e3b,m39b,n30,h12,kontrowersyjny,z charakterem,prawy,kiepski"
"Cezary Kropidlowski,3,478193306,bd7,f5,e13c,m33c,n9,h13,przyjemny,porywczy,prawy,słaby"
"Andrzej Pedryc,0,478193484,bd6,f5,e33c,m28cg,n32,h10,przyjemny,opanowany,uczciwy,kiepski"
"Radomir Dahlke,2,478202381,bd8,f2,e17c,m32c,n23,h7,przyjemny,zrównoważony,prawy,słaby"
"Seppl Worm,2,478202083,bd10,f4,e24c,m9c,n22,h13,sympatyczny,zrównoważony,nieuczciwy,słaby"
"Tobiasz Likos,0,478190660,bd6,f7,e12c,m33c,n36,h3,popularny,z charakterem,nieuczciwy,solidny"
"Rafal Gonciarz,3,478195800,bd11,f4,e26c,m2c,n27,h4,sympatyczny,opanowany,nieuczciwy,zadowalający"
"Edward Mrowczynski,1,478211632,bd2,f8,e11c,m32c,n14,h13,popularny,opanowany,nieuczciwy,słaby"
"Daniel Kahangi,1,478238932,bd6,f5,e30c,m21c,n15,h10,przyjemny,zrównoważony,uczciwy,słaby"
"Wilson Ndunge,1,478252416,bd2,f2,e8c,m20c,n22,h0,przyjemny,zrównoważony,nieuczciwy,kiepski"
"Francis Bolo,0,478268091,bd11,f4,e13c,m28c,n19,h11,sympatyczny,zrównoważony,nieuczciwy,kiepski"
"Jumaane Miano,0,478262304,bd11,f2,e19c,m10c,n7,h12,sympatyczny,z charakterem,nieuczciwy,fatalny"
"Nehemiah Awino,1,478245488,bd1,f5,e23b,m34b,n23,h15,kontrowersyjny,z charakterem,uczciwy,nędzny"
"Abdalla Barsosio,0,478273803,bd10,f2,e16c,m8c,n31,h6,przyjemny,opanowany,nieuczciwy,przeciętny"
"Mosi Wathoni,1,478252362,bd1,f3,e28c,m11c,n16,h9,przyjemny,opanowany,uczciwy,przeciętny"
"Josiah Wesonga,0,478264958,bd2,f5,e29b,m28b,n27,h10,kontrowersyjny,spokojny,uczciwy,nędzny"
"Sefu Yimbo,1,478251568,bd7,f2,e19c,m31c,n20,h10,sympatyczny,z charakterem,uczciwy,przeciętny"
"Amin Koech,0,478264704,bd7,f1,e23c,m23c,n28,h6,popularny,zrównoważony,uczciwy,kiepski"
"Nuru Modi,2,478233816,bd4,f2,e9c,m9c,n31,h4,popularny,spokojny,uczciwy,przeciętny"
"Sadaka Wambugu,0,478263282,bd8,f8,e11c,m34c,n19,h6,sympatyczny,zrównoważony,uczciwy,kiepski"
"Jelani Murunga,3,478226848,bd11,f7,e12b,m13b,n35,h1,kontrowersyjny,opanowany,prawy,słaby"
"Dave Mwachofi,0,478223995,bd5,f6,e9b,m30b,n31,h2,kontrowersyjny,z charakterem,nieuczciwy,słaby"
"Krystian Nogowski,2,478258543,bd7,f9,e31c,m5c,n11,h4,sympatyczny,spokojny,uczciwy,zadowalający"
"Feliks Nieruchaj,4,478226274,bd8,f7,e29a,m13c,n37,h12,kontrowersyjny,zrównoważony,podły,słaby"
"Mieczyslaw Pszczola,1,478260399,bd5,f3,e3b,m38b,n18,h10,kontrowersyjny,porywczy,nieuczciwy,przeciętny"
"Piotr Pigalak,3,478230854,bd10,f3,e24c,m19c,n21,h8,przyjemny,zrównoważony,uczciwy,słaby"
"Bartosz Piznal,4,478227156,bd8,f3,e3c,m8c,n22,h12,sympatyczny,zrównoważony,nieuczciwy,słaby"
"Fryderyk Uminski,2,478255129,bd5,f5,e12c,m35c,n14,h2,przyjemny,zrównoważony,prawy,zadowalający"
"Juan-Carlos Kuppenbender,1,478267159,bd1,f9,e29b,m13b,n26,h1,kontrowersyjny,zrównoważony,nieuczciwy,zadowalający"
"Jozef Strawa,1,478258701,bd4,f7,e20c,m40c,n32,h14,przyjemny,porywczy,uczciwy,słaby"
"Edmund Nitschl,2,478248293,bd6,f4,e13b,m7b,n13,h12,kontrowersyjny,opanowany,uczciwy,zadowalający"
"Tadeusz Jacyna,0,478276326,bd2,f9,e10c,m23c,n17,h0,sympatyczny,opanowany,prawy,kiepski"
"Blazej Swarcewicz,1,478267452,bd9,f3,e25b,m33b,n17,h0,kontrowersyjny,z charakterem,nieuczciwy,kiepski"
"Eugeniusz Chlebicki,1,478267772,bd9,f1,e34a,m24a,n2,h12,złośliwy,spokojny,prawy,słaby"
"Marek Falak,1,478268401,bd8,f8,e10c,m2c,n17,h6,sympatyczny,zrównoważony,uczciwy,przeciętny"
"Bartlomiej Bagniewski,3,478229646,bd2,f5,e12c,m21c,n13,h2,przyjemny,zrównoważony,nieuczciwy,nędzny"
"Krzysztof Kazubowski,1,478262939,bd7,f8,e22c,m3c,n20,h5,przyjemny,zrównoważony,nieuczciwy,słaby"
"Sebastian Bando,2,478257308,bd8,f5,e29b,m30b,n16,h4,kontrowersyjny,opanowany,nieuczciwy,kiepski"
"Rafal Tatar,1,478265564,bd7,f8,e8c,m13c,n23,h0,sympatyczny,opanowany,uczciwy,kiepski"
"Daniel Wypart,0,478278337,bd9,f1,e29b,m9b,n17,h2,kontrowersyjny,porywczy,nieuczciwy,solidny"
"Igor Steczkowski,1,478272850,bd12,f1,e10b,m36b,n5,h4,kontrowersyjny,spokojny,prawy,nędzny"
"Jacek Lewko,3,478229580,bd11,f4,e30b,m10b,n25,h5,kontrowersyjny,z charakterem,uczciwy,kiepski"
"Pawel Sulek,2,478241225,bd7,f8,e14c,m23c,n4,h12,przyjemny,opanowany,uczciwy,słaby"
"Lech Sopel,1,478264384,bd5,f4,e23b,m36b,n12,h8,kontrowersyjny,z charakterem,uczciwy,przeciętny"
"Wojciech Hebel,1,478261464,bd11,f7,e22c,m13c,n39,h6,przyjemny,zrównoważony,nieuczciwy,kiepski"
"Jan Blachowski,1,478263195,bd1,f1,e17c,m14c,n16,h0,przyjemny,zrównoważony,uczciwy,słaby"
"Bonifacy Langner,3,478229283,bd1,f2,e6a,m14a,n13,h0,złośliwy,zrównoważony,prawy,kiepski"
"Andrzej Grygier,1,478261297,bd7,f2,e21c,m25c,n23,h13,przyjemny,zrównoważony,uczciwy,nędzny"
"Krzysztof Zdral,4,478225725,bd5,f6,e9c,m38c,n5,h8,sympatyczny,opanowany,nieuczciwy,zadowalający"
"Zenon Musialik,1,478264077,bd1,f4,e23b,m6b,n26,h7,kontrowersyjny,zrównoważony,uczciwy,przeciętny"
"Maciej Piskorz,3,478229363,bd3,f1,e34c,m14c,n23,h1,przyjemny,zrównoważony,podły,przeciętny"
"Jerzy Michalowicz,1,478276021,bd12,f5,e31c,m36c,n39,h6,sympatyczny,opanowany,nieuczciwy,kiepski"
"Wlodzimierz Ocwieja,1,478267083,bd11,f3,e26b,m35b,n27,h2,kontrowersyjny,opanowany,nieuczciwy,słaby"
"Dariusz Banaskiewicz,4,478225836,bd11,f7,e3c,m35c,n33,h15,sympatyczny,opanowany,nieuczciwy,zadowalający"
"Tomasz Swica,1,478268246,bd7,f7,e29c,m14c,n33,h10,sympatyczny,zrównoważony,uczciwy,kiepski"
"Roman Cytowicz,1,478273695,bd4,f7,e10c,m31c,n37,h14,sympatyczny,z charakterem,uczciwy,nędzny"
"Jeremi Redlich,4,478225618,bd8,f6,e28c,m4c,n25,h0,popularny,porywczy,nieuczciwy,zadowalający"
"Krzysztof Sakowicz,2,478248422,bd6,f6,e25c,m35c,n26,h6,przyjemny,zrównoważony,nieuczciwy,fatalny"
"Jacek Dziuba,2,478256616,bd4,f4,e21c,m23c,n28,h8,popularny,zrównoważony,prawy,słaby"
"Patryk Tycner,1,478268835,bd10,f8,e23b,m28b,n10,h15,kontrowersyjny,opanowany,nieuczciwy,kiepski"
"Michal Maziak,1,478265991,bd5,f6,e15c,m30c,n25,h5,sympatyczny,zrównoważony,uczciwy,kiepski"
"Dobrociech Wisniewski,3,478237200,bd8,f7,e10b,m33b,n32,h13,kontrowersyjny,opanowany,uczciwy,przeciętny"
"Hieronim Olczak,1,478262351,bd6,f4,e22c,m32c,n17,h2,przyjemny,z charakterem,prawy,kiepski"
"Baltazar Kluska,3,478228621,bd5,f4,e23c,m23c,n18,h2,popularny,opanowany,uczciwy,słaby"
"Remigiusz Lakomski,0,478278062,bd6,f8,e35c,m33c,n24,h5,popularny,z charakterem,uczciwy,nędzny"
"Boguslaw Godula,3,478230785,bd9,f9,e36a,m23a,n34,h4,złośliwy,zrównoważony,uczciwy,nędzny"
"Patryk Piernik,1,478227008,bd12,f7,e31c,m32c,n39,h12,przyjemny,zrównoważony,uczciwy,słaby"
"Robert Obojski,1,478263949,bd11,f1,e6c,m4c,n3,h2,sympatyczny,zrównoważony,prawy,przeciętny"
"Krystian Smarzynski,3,478233494,bd6,f4,e3b,m2b,n35,h4,kontrowersyjny,z charakterem,uczciwy,zadowalający"
"Miroslaw Bocer,3,478231962,bd2,f8,e25c,m19c,n24,h5,sympatyczny,porywczy,uczciwy,słaby"
"Jan Ciesielski,2,478251708,bd3,f7,e7c,m13c,n32,h2,przyjemny,z charakterem,uczciwy,fatalny"
"Cyryl Skonieczny,1,478262954,bd8,f4,e13c,m32c,n35,h10,przyjemny,zrównoważony,uczciwy,kiepski"
"Leon Rabiejas,2,478237615,bd8,f7,e7b,m34b,n15,h14,kontrowersyjny,zrównoważony,uczciwy,słaby"
"Folkert Normanne,2,478255188,bd1,f7,e20c,m32c,n37,h5,sympatyczny,zrównoważony,prawy,kiepski"
"Stanislaw Golonka,1,478260945,bd8,f3,e34c,m14c,n29,h12,przyjemny,porywczy,szlachetny,przeciętny"
"Franciszek Janiszyn,0,478278949,bd10,f6,e21b,m7b,n15,h14,kontrowersyjny,z charakterem,nieuczciwy,kiepski"
"Lech Moczkowski,2,478256994,bd8,f3,e4c,m7c,n17,h2,przyjemny,z charakterem,nieuczciwy,słaby"
"Tomasz Drygala,1,478265956,bd12,f1,e28c,m38c,n15,h1,przyjemny,zrównoważony,prawy,przeciętny"
"Grzegorz Miemiec,1,478269474,bd12,f7,e14c,m33c,n28,h0,sympatyczny,z charakterem,uczciwy,kiepski"
"Sascha Mausser,1,478260797,bd10,f5,e28c,m2c,n19,h5,sympatyczny,opanowany,prawy,przeciętny"
"Jan Szczypa,2,478255641,bd4,f5,e12c,m33c,n19,h15,popularny,zrównoważony,prawy,przeciętny"
"Bronislaw Malek,1,478265884,bd5,f8,e3c,m24c,n10,h9,przyjemny,porywczy,uczciwy,przeciętny"
"Konrad Roslonek,3,478229650,bd10,f6,e15c,m26c,n1,h10,sympatyczny,opanowany,uczciwy,kiepski"
"Jorgen Zlabinger,4,478224927,bd8,f9,e28c,m8c,n26,h7,przyjemny,porywczy,nieuczciwy,przeciętny"
"Slawomir Dziebulak,1,478275279,bd2,f1,e6c,m30c,n22,h14,przyjemny,opanowany,prawy,zadowalający"
"Piotr Dabek,1,478271889,bd4,f9,e35c,m2c,n17,h1,przyjemny,zrównoważony,uczciwy,przeciętny"
"Patryk Podeszwa,1,478276089,bd8,f4,e22c,m19c,n13,h12,sympatyczny,z charakterem,nieuczciwy,przeciętny"
"Henryk Pietrzak,1,478265043,bd11,f7,e16b,m40b,n38,h2,kontrowersyjny,zrównoważony,uczciwy,kiepski"
"Tomasz Studnicki,2,478254859,bd5,f2,e27c,m1c,n33,h0,sympatyczny,zrównoważony,prawy,fatalny"
"Pawel Kropidlowski,1,478264028,bd11,f2,e11c,m1c,n13,h4,przyjemny,z charakterem,prawy,słaby"
"Walerian Guzikowski,3,478234301,bd1,f7,e24a,m37a,n36,h12,złośliwy,zrównoważony,szlachetny,słaby"
"Leon Kaniewski,3,478233497,bd3,f8,e23c,m13c,n12,h12,przyjemny,opanowany,uczciwy,zadowalający"
"Wilhelm Porzucek,1,478270200,bd11,f3,e3c,m24c,n17,h10,sympatyczny,opanowany,nieuczciwy,słaby"
"Arkadiusz Dorsz,1,478266039,bd2,f1,e7c,m30c,n20,h13,sympatyczny,opanowany,nieuczciwy,kiepski"
"Ludwik Jantas,0,478276722,bd5,f8,e17a,m34a,n22,h11,złośliwy,opanowany,uczciwy,zadowalający"
"Henryk Grzeszczuk,1,478274706,bd12,f6,e8b,m25b,n9,h15,kontrowersyjny,opanowany,uczciwy,nędzny"
"Marek Dymecki,1,478274724,bd8,f3,e24c,m14c,n22,h10,popularny,z charakterem,prawy,przeciętny"
"Krzysztof Imbierowicz,1,478270621,bd1,f4,e12c,m30c,n10,h10,przyjemny,z charakterem,prawy,przeciętny"
"Gerard Muchajer,2,478257126,bd12,f1,e3b,m4b,n12,h13,kontrowersyjny,opanowany,uczciwy,słaby"
"Gustaw Broja,3,478231118,bd12,f5,e34c,m28c,n13,h0,przyjemny,opanowany,uczciwy,słaby"
"Romuald Przybylak,1,478264927,bd6,f5,e7b,m13b,n27,h12,kontrowersyjny,z charakterem,nieuczciwy,przeciętny"
"Ernest Szarowski,2,478247632,bd2,f2,e1c,m18c,n28,h12,sympatyczny,zrównoważony,prawy,nędzny"
"Kazimierz Nenycz,1,478262385,bd5,f8,e14b,m35b,n15,h8,kontrowersyjny,zrównoważony,nieuczciwy,zadowalający"
"Tomasz Bialucha,1,478262829,bd6,f1,e28b,m16b,n16,h4,kontrowersyjny,zrównoważony,uczciwy,kiepski"
"Jerzy Lesniewski,1,478264127,bd11,f6,e15c,m21c,n9,h7,sympatyczny,z charakterem,uczciwy,nędzny"
"Czeslaw Gurdak,1,478273967,bd2,f8,e17c,m6c,n11,h2,przyjemny,porywczy,prawy,słaby"
"Arnold Podgorzak,2,478253004,bd8,f8,e36c,m8c,n9,h9,sympatyczny,z charakterem,uczciwy,przeciętny"
"Tomasz Gnilka,3,478227607,bd6,f7,e28b,m31b,n28,h12,kontrowersyjny,opanowany,szlachetny,przeciętny"
"Teodozy Letowski,1,478263089,bd6,f8,e3c,m2c,n35,h2,sympatyczny,opanowany,prawy,zadowalający"
"Hubert Cisak,3,478234259,bd9,f5,e26b,m14b,n23,h3,kontrowersyjny,z charakterem,prawy,fatalny"
"Mateusz Zachaj,3,478235588,bd2,f4,e30b,m24b,n29,h8,kontrowersyjny,zrównoważony,uczciwy,przeciętny"
"Igor Dobkiewicz,1,478262093,bd5,f7,e22c,m40c,n33,h8,sympatyczny,z charakterem,uczciwy,kiepski"
"Florian Jamroz,1,478267314,bd12,f5,e29b,m30b,n16,h1,kontrowersyjny,zrównoważony,nieuczciwy,przeciętny"
"Jozef Rudnik,4,478225837,bd5,f3,e5c,m2c,n11,h4,przyjemny,porywczy,uczciwy,kiepski"
"Emilian Recembel,1,478262175,bd9,f1,e19c,m6c,n16,h12,sympatyczny,zrównoważony,uczciwy,nędzny"
"Slawomir Borczynski,1,478264745,bd7,f6,e27c,m5c,n5,h15,popularny,z charakterem,podły,słaby"
"Dominik Witaszczyk,3,478230531,bd7,f5,e33b,m28b,n37,h10,kontrowersyjny,zrównoważony,uczciwy,nędzny"
"Jozef Metel,1,478265427,bd6,f5,e30c,m36c,n29,h3,popularny,zrównoważony,uczciwy,kiepski"
"Roman Loboda,1,478267595,bd6,f6,e36c,m2c,n22,h8,przyjemny,porywczy,prawy,zadowalający"
"Erwin Sniatala,1,478272155,bd10,f9,e29a,m4a,n21,h0,złośliwy,opanowany,prawy,przeciętny"
"Maciej Ircha,1,478268079,bd12,f9,e10c,m3c,n4,h13,przyjemny,z charakterem,uczciwy,nędzny"
"Jan Cienkowski,1,478272097,bd6,f3,e4b,m28b,n11,h8,kontrowersyjny,opanowany,nieuczciwy,słaby"
"Arkadiusz Albert,1,478271750,bd1,f1,e16a,m18a,n5,h12,złośliwy,zrównoważony,prawy,kiepski"
"Kazimierz Maziak,1,478262078,bd8,f3,e26c,m27c,n10,h8,sympatyczny,zrównoważony,nieuczciwy,słaby"
"Adam Frohlich,1,478267821,bd2,f1,e10c,m13c,n2,h0,przyjemny,zrównoważony,prawy,nędzny"
"Dominik Giszter,1,478261421,bd1,f6,e25b,m3b,n34,h2,kontrowersyjny,zrównoważony,uczciwy,zadowalający"
"Edward Stepniewski,1,478273964,bd11,f3,e28b,m3b,n21,h5,kontrowersyjny,opanowany,uczciwy,słaby"
"Egon Pawlinski,2,478257271,bd5,f6,e26a,m3a,n25,h3,złośliwy,spokojny,prawy,zadowalający"
"Marian Ryzak,1,478271300,bd3,f8,e29b,m35b,n12,h10,kontrowersyjny,zrównoważony,uczciwy,zadowalający"
"Leopold Duzniak,1,478259409,bd5,f8,e36c,m19c,n12,h13,sympatyczny,spokojny,uczciwy,słaby"
